ORDERDATE,SALES
2023-01-01,104.97
2023-01-02,99.46
2023-01-03,108.17
2023-01-04,117.76
2023-01-05,101.03
2023-01-06,101.88
2023-01-07,120.85
2023-01-08,113.58
2023-01-09,102.05
2023-01-10,113.01
2023-01-11,103.79
2023-01-12,104.61
2023-01-13,112.52
2023-01-14,91.81
2023-01-15,94.52
2023-01-16,106.98
2023-01-17,103.31
2023-01-18,117.41
2023-01-19,106.02
2023-01-20,101.8
2023-01-21,131.41
2023-01-22,115.32
2023-01-23,119.07
2023-01-24,104.97
2023-01-25,114.59
2023-01-26,121.95
2023-01-27,110.15
2023-01-28,126.22
2023-01-29,117.26
2023-01-30,121.16
2023-01-31,118.86
2023-02-01,144.2
2023-02-02,126.33
2023-02-03,116.68
2023-02-04,136.27
2023-02-05,116.63
2023-02-06,131.7
2023-02-07,110.8
2023-02-08,117.89
2023-02-09,133.91
2023-02-10,140.09
2023-02-11,135.19
2023-02-12,133.08
2023-02-13,131.98
2023-02-14,120.96
2023-02-15,129.29
2023-02-16,132.63
2023-02-17,148.54
2023-02-18,142.14
2023-02-19,121.81
2023-02-20,143.41
2023-02-21,137.04
2023-02-22,134.84
2023-02-23,148.44
2023-02-24,153.34
2023-02-25,153.04
2023-02-26,136.04
2023-02-27,142.03
2023-02-28,149.13
2023-03-01,156.25
2023-03-02,142.38
2023-03-03,145.99
2023-03-04,137.45
2023-03-05,137.22
2023-03-06,157.96
2023-03-07,164.06
2023-03-08,150.42
2023-03-09,161.82
2023-03-10,156.04
2023-03-11,146.6
2023-03-12,157.29
2023-03-13,169.68
2023-03-14,154.55
2023-03-15,171.17
2023-03-16,129.93
2023-03-17,164.94
2023-03-18,158.19
2023-03-19,154.91
2023-03-20,159.4
2023-03-21,139.18
2023-03-22,157.43
2023-03-23,163.76
2023-03-24,175.53
2023-03-25,156.12
2023-03-26,153.76
2023-03-27,157.37
2023-03-28,172.07
2023-03-29,166.73
2023-03-30,158.67
2023-03-31,169.62
2023-04-01,165.97
2023-04-02,175.19
2023-04-03,158.98
2023-04-04,163.21
2023-04-05,163.06
2023-04-06,152.82
2023-04-07,170.89
2023-04-08,171.01
2023-04-09,168.92
2023-04-10,166.98
2023-04-11,155.62
2023-04-12,166.01
2023-04-13,167.23
2023-04-14,163.07
2023-04-15,169.91
2023-04-16,175.98
2023-04-17,191.22
2023-04-18,174.52
2023-04-19,175.75
2023-04-20,172.83
2023-04-21,154.78
2023-04-22,174.09
2023-04-23,175.34
2023-04-24,199.75
2023-04-25,173.56
2023-04-26,178.87
2023-04-27,175.86
2023-04-28,164.88
2023-04-29,188.35
2023-04-30,184.78
2023-05-01,185.51
2023-05-02,168.84
2023-05-03,192.29
2023-05-04,164.57
2023-05-05,184.77
2023-05-06,201.12
2023-05-07,169.62
2023-05-08,174.17
2023-05-09,181.13
2023-05-10,175.39
2023-05-11,165.21
2023-05-12,181.68
2023-05-13,170.65
2023-05-14,186.29
2023-05-15,172.63
2023-05-16,197.59
2023-05-17,174.52
2023-05-18,179.39
2023-05-19,191.0
2023-05-20,170.81
2023-05-21,185.64
2023-05-22,196.67
2023-05-23,167.77
2023-05-24,185.92
2023-05-25,186.9
2023-05-26,192.35
2023-05-27,172.39
2023-05-28,171.77
2023-05-29,190.41
2023-05-30,188.37
2023-05-31,188.12
2023-06-01,189.29
2023-06-02,179.22
2023-06-03,188.55
2023-06-04,189.35
2023-06-05,179.47
2023-06-06,205.47
2023-06-07,191.74
2023-06-08,175.27
2023-06-09,193.94
2023-06-10,177.81
2023-06-11,195.61
2023-06-12,199.5
2023-06-13,179.88
2023-06-14,197.9
2023-06-15,192.56
2023-06-16,196.83
2023-06-17,207.74
2023-06-18,186.49
2023-06-19,181.57
2023-06-20,180.38
2023-06-21,181.28
2023-06-22,188.82
2023-06-23,193.17
2023-06-24,192.68
2023-06-25,198.35
2023-06-26,190.36
2023-06-27,204.93
2023-06-28,187.9
2023-06-29,217.91
2023-06-30,197.12
2023-07-01,182.44
2023-07-02,180.46
2023-07-03,196.15
2023-07-04,189.25
2023-07-05,198.78
2023-07-06,196.53
2023-07-07,191.22
2023-07-08,183.64
2023-07-09,177.12
2023-07-10,187.96
2023-07-11,201.15
2023-07-12,194.88
2023-07-13,180.45
2023-07-14,194.8
2023-07-15,197.08
2023-07-16,184.56
2023-07-17,195.1
2023-07-18,194.31
2023-07-19,182.47
2023-07-20,197.64
2023-07-21,199.85
2023-07-22,205.24
2023-07-23,205.13
2023-07-24,180.99
2023-07-25,185.57
2023-07-26,200.28
2023-07-27,200.45
2023-07-28,200.65
2023-07-29,234.22
2023-07-30,201.59
2023-07-31,207.43
2023-08-01,205.81
2023-08-02,202.99
2023-08-03,193.53
2023-08-04,204.48
2023-08-05,189.37
2023-08-06,194.94
2023-08-07,192.67
2023-08-08,198.56
2023-08-09,221.11
2023-08-10,179.52
2023-08-11,205.29
2023-08-12,182.53
2023-08-13,194.18
2023-08-14,210.03
2023-08-15,200.03
2023-08-16,188.86
2023-08-17,192.74
2023-08-18,206.94
2023-08-19,193.11
2023-08-20,202.84
2023-08-21,201.4
2023-08-22,194.71
2023-08-23,222.94
2023-08-24,208.13
2023-08-25,181.82
2023-08-26,204.23
2023-08-27,196.05
2023-08-28,211.5
2023-08-29,195.36
2023-08-30,202.45
2023-08-31,208.96
2023-09-01,212.89
2023-09-02,192.56
2023-09-03,201.55
2023-09-04,200.49
2023-09-05,199.05
2023-09-06,223.59
2023-09-07,210.34
2023-09-08,194.04
2023-09-09,216.19
2023-09-10,228.61
2023-09-11,218.09
2023-09-12,192.95
2023-09-13,203.69
2023-09-14,221.6
2023-09-15,202.25
2023-09-16,214.17
2023-09-17,217.89
2023-09-18,201.29
2023-09-19,210.38
2023-09-20,179.0
2023-09-21,201.6
2023-09-22,209.76
2023-09-23,200.25
2023-09-24,229.5
2023-09-25,199.33
2023-09-26,209.7
2023-09-27,215.87
2023-09-28,229.45
2023-09-29,201.16
2023-09-30,227.64
2023-10-01,216.6
2023-10-02,207.19
2023-10-03,222.13
2023-10-04,220.01
2023-10-05,212.53
2023-10-06,219.75
2023-10-07,215.73
2023-10-08,221.25
2023-10-09,227.28
2023-10-10,237.06
2023-10-11,209.37
2023-10-12,243.64
2023-10-13,203.35
2023-10-14,221.93
2023-10-15,229.9
2023-10-16,227.41
2023-10-17,218.96
2023-10-18,223.7
2023-10-19,221.45
2023-10-20,221.09
2023-10-21,236.08
2023-10-22,231.77
2023-10-23,221.89
