ORDERDATE,SALES
2023-01-01,363.41
2023-01-02,178.76
2023-01-03,152.08
2023-01-04,298.09
2023-01-05,373.76
2023-01-06,240.4
2023-01-07,491.34
2023-01-08,358.17
2023-01-09,266.42
2023-01-10,226.45
2023-01-11,204.43
2023-01-12,378.07
2023-01-13,247.36
2023-01-14,76.86
2023-01-15,229.12
2023-01-16,382.1
2023-01-17,132.12
2023-01-18,128.95
2023-01-19,289.2
2023-01-20,289.32
2023-01-21,335.48
2023-01-22,432.24
2023-01-23,376.0
2023-01-24,324.96
2023-01-25,375.1
2023-01-26,195.33
2023-01-27,212.8
2023-01-28,152.72
2023-01-29,182.17
2023-01-30,333.94
2023-01-31,91.45
2023-02-01,245.17
2023-02-02,243.89
2023-02-03,272.16
2023-02-04,241.62
2023-02-05,190.52
2023-02-06,241.86
2023-02-07,452.03
2023-02-08,474.87
2023-02-09,275.83
2023-02-10,330.78
2023-02-11,102.03
2023-02-12,192.78
2023-02-13,236.67
2023-02-14,439.84
2023-02-15,162.7
2023-02-16,267.37
2023-02-17,493.5
2023-02-18,283.77
2023-02-19,325.8
2023-02-20,104.28
2023-02-21,421.85
2023-02-22,321.38
2023-02-23,295.28
2023-02-24,204.24
2023-02-25,186.85
2023-02-26,237.66
2023-02-27,356.59
2023-02-28,443.96
2023-03-01,279.69
2023-03-02,351.19
2023-03-03,313.67
2023-03-04,331.21
2023-03-05,353.61
2023-03-06,429.05
2023-03-07,87.44
2023-03-08,393.66
2023-03-09,159.65
2023-03-10,137.4
2023-03-11,307.61
2023-03-12,93.07
2023-03-13,448.4
2023-03-14,332.26
2023-03-15,375.54
2023-03-16,57.26
2023-03-17,317.49
2023-03-18,300.55
2023-03-19,121.53
2023-03-20,118.88
2023-03-21,362.99
2023-03-22,193.44
2023-03-23,361.39
2023-03-24,299.47
2023-03-25,225.03
2023-03-26,466.31
2023-03-27,428.75
2023-03-28,210.83
2023-03-29,69.62
2023-03-30,187.15
2023-03-31,229.18
2023-04-01,367.23
2023-04-02,497.91
2023-04-03,210.16
2023-04-04,393.15
2023-04-05,316.93
2023-04-06,361.27
2023-04-07,118.01
2023-04-08,229.49
2023-04-09,158.39
2023-04-10,204.56
2023-04-11,280.91
2023-04-12,349.98
2023-04-13,97.66
2023-04-14,108.9
2023-04-15,194.89
2023-04-16,347.7
2023-04-17,430.93
2023-04-18,298.97
2023-04-19,434.5
2023-04-20,223.18
2023-04-21,192.55
2023-04-22,209.42
2023-04-23,126.99
2023-04-24,423.1
2023-04-25,202.4
2023-04-26,298.57
2023-04-27,310.35
2023-04-28,284.69
2023-04-29,51.21
2023-04-30,494.76
2023-05-01,457.4
2023-05-02,143.44
2023-05-03,181.62
2023-05-04,284.0
2023-05-05,455.86
2023-05-06,492.63
2023-05-07,165.89
2023-05-08,303.96
2023-05-09,413.14
2023-05-10,227.47
2023-05-11,378.98
2023-05-12,122.48
2023-05-13,320.31
2023-05-14,439.64
2023-05-15,492.58
2023-05-16,85.71
2023-05-17,242.76
2023-05-18,142.04
2023-05-19,252.79
2023-05-20,296.49
2023-05-21,92.0
2023-05-22,183.59
2023-05-23,467.41
2023-05-24,306.05
2023-05-25,255.84
2023-05-26,389.09
2023-05-27,383.84
2023-05-28,71.86
2023-05-29,368.91
2023-05-30,427.66
2023-05-31,124.67
2023-06-01,401.45
2023-06-02,178.94
2023-06-03,187.91
2023-06-04,349.37
2023-06-05,100.13
2023-06-06,349.19
2023-06-07,449.54
2023-06-08,363.34
2023-06-09,248.15
2023-06-10,247.2
2023-06-11,394.29
2023-06-12,304.54
2023-06-13,88.21
2023-06-14,312.2
2023-06-15,416.68
2023-06-16,201.68
2023-06-17,467.41
2023-06-18,387.82
2023-06-19,308.33
2023-06-20,388.24
2023-06-21,85.62
2023-06-22,436.73
2023-06-23,419.68
2023-06-24,459.44
2023-06-25,107.88
2023-06-26,86.8
2023-06-27,112.29
2023-06-28,229.72
2023-06-29,240.94
2023-06-30,303.0
2023-07-01,105.01
2023-07-02,140.63
2023-07-03,415.24
2023-07-04,260.59
2023-07-05,413.57
2023-07-06,53.34
2023-07-07,298.22
