ORDERDATE,SALES
2023-01-01,31132.46
2023-01-01,92194.46
2023-01-01,85627.82
2023-01-02,31036.61
2023-01-02,16566.66
2023-01-03,21024.94
2023-01-03,49589.83
2023-01-04,20512.82
2023-01-04,55190.59
2023-01-04,15959.26
2023-01-04,58959.43
2023-01-06,50375.26
2023-01-06,13737.02
2023-01-06,44115.11
2023-01-07,27548.1
2023-01-07,32599.72
2023-01-07,21225.88
2023-01-08,33822.6
2023-01-08,25139.57
2023-01-10,54948.89
2023-01-10,18626.88
2023-01-11,99913.83
2023-01-11,44693.77
2023-01-13,27795.1
2023-01-13,75810.34
2023-01-14,68756.35
2023-01-15,19380.17
2023-01-15,34114.38
2023-01-15,51843.14
2023-01-16,25259.66
2023-01-16,27391.38
2023-01-17,63791.91
2023-01-18,80504.02
2023-01-18,27917.69
2023-01-18,14251.29
2023-01-19,22212.02
2023-01-19,22906.66
2023-01-19,30639.32
2023-01-20,55542.32
2023-01-20,97643.21
2023-01-20,51985.26
2023-01-20,97056.65
2023-01-21,31371.29
2023-01-22,37863.84
2023-01-22,15769.79
2023-01-22,37100.76
2023-01-22,99946.89
2023-01-22,50613.72
2023-01-22,99590.74
2023-01-22,32900.19
2023-01-23,19077.75
2023-01-23,21126.82
2023-01-23,25255.69
2023-01-24,16867.39
2023-01-25,31002.88
2023-01-25,22890.86
2023-01-25,14043.24
2023-01-26,13612.42
2023-01-26,74729.95
2023-01-26,13152.84
2023-01-27,42955.25
2023-01-27,21404.8
2023-01-27,18031.94
2023-01-28,22621.34
2023-01-28,95700.09
2023-01-29,19663.97
2023-01-30,18285.36
2023-01-31,56393.63
2023-01-31,61141.28
2023-01-31,12059.37
2023-01-31,65923.9
2023-02-01,44479.93
2023-02-01,21572.89
2023-02-02,30071.71
2023-02-02,59599.03
2023-02-03,19692.43
2023-02-03,85983.06
2023-02-03,37675.52
2023-02-03,52467.2
2023-02-04,24193.96
2023-02-04,29053.98
2023-02-04,13594.96
2023-02-05,57417.06
2023-02-05,61581.16
2023-02-06,78515.61
2023-02-06,96511.74
2023-02-06,77191.91
2023-02-07,69514.92
2023-02-07,93103.48
2023-02-07,86530.95
2023-02-08,59853.77
2023-02-08,42908.37
2023-02-08,27886.98
2023-02-08,54463.53
2023-02-09,37251.33
2023-02-09,27467.85
2023-02-10,28960.85
2023-02-11,69545.31
2023-02-12,62739.17
2023-02-12,27672.78
2023-02-13,15896.08
2023-02-13,98115.7
2023-02-14,69372.01
2023-02-14,61894.41
2023-02-14,37943.72
2023-02-14,34514.78
2023-02-14,49795.04
2023-02-15,38428.76
2023-02-15,32615.42
2023-02-15,30079.02
2023-02-16,18926.06
2023-02-16,14371.55
2023-02-16,88586.46
2023-02-17,89819.85
2023-02-18,94829.81
2023-02-19,22115.78
2023-02-19,45191.25
2023-02-19,33862.61
2023-02-19,64090.95
2023-02-20,31735.43
2023-02-23,54813.95
2023-02-23,91914.82
2023-02-23,21841.3
2023-02-23,28118.77
2023-02-23,36985.39
2023-02-24,34241.96
2023-02-24,16286.74
2023-02-24,65316.18
2023-02-25,16780.41
2023-02-25,41894.36
2023-02-25,14186.97
2023-02-25,82183.01
2023-02-26,23903.49
2023-02-26,19676.24
2023-02-27,94156.18
2023-02-27,29088.8
2023-02-27,99306.87
2023-02-28,18403.87
2023-03-01,20442.95
2023-03-02,20381.82
2023-03-02,86371.13
2023-03-04,70643.92
2023-03-04,38185.29
2023-03-04,21086.86
2023-03-04,36888.99
2023-03-04,19344.66
2023-03-05,100900.84
2023-03-05,62982.57
2023-03-05,47025.47
2023-03-06,52773.1
2023-03-06,70828.79
2023-03-06,31427.44
2023-03-06,25554.43
2023-03-07,70350.89
2023-03-07,35912.79
2023-03-07,21678.64
2023-03-08,41592.83
2023-03-08,46520.25
2023-03-09,11916.32
2023-03-09,81587.63
2023-03-09,19391.38
2023-03-10,12935.02
2023-03-10,26309.42
2023-03-10,35563.97
2023-03-11,98426.95
2023-03-12,41791.2
2023-03-12,22796.2
2023-03-12,39179.6
