ORDERDATE,SALES
2020-01-01,40416.02
2020-01-01,43677.42
2020-01-01,38317.0
2020-01-02,38477.8
2020-01-03,36236.82
2020-01-04,38107.02
2020-01-04,38293.21
2020-01-04,51306.23
2020-01-05,43050.21
2020-01-05,43809.53
2020-01-05,42672.89
2020-01-06,30878.8
2020-01-07,41879.15
2020-01-07,41955.22
2020-01-07,41713.6
2020-01-08,40485.45
2020-01-08,33495.29
2020-01-09,36842.04
2020-01-09,37475.06
2020-01-09,42725.96
2020-01-10,41590.72
2020-01-11,55838.37
2020-01-11,40406.95
2020-01-12,42146.89
2020-01-12,43414.1
2020-01-12,35505.34
2020-01-13,37656.79
2020-01-13,32101.51
2020-01-13,33004.48
2020-01-14,32626.24
2020-01-14,39595.71
2020-01-14,33374.01
2020-01-15,45040.15
2020-01-15,44240.4
2020-01-15,30872.48
2020-01-16,38714.87
2020-01-16,31147.97
2020-01-16,43918.36
2020-01-17,29478.15
2020-01-18,38145.52
2020-01-18,41871.97
2020-01-19,41865.07
2020-01-19,49451.74
2020-01-19,52293.59
2020-01-20,35711.74
2020-01-20,38040.82
2020-01-20,34496.61
2020-01-21,29748.32
2020-01-21,39264.94
2020-01-21,33379.75
2020-01-22,42406.07
2020-01-22,33092.75
2020-01-22,36776.9
2020-01-23,42684.63
2020-01-23,33058.96
2020-01-23,34802.31
2020-01-23,58358.96
2020-01-24,42664.05
2020-01-24,32523.48
2020-01-24,33718.6
2020-01-25,36603.55
2020-01-25,39700.56
2020-01-26,44043.41
2020-01-26,51052.82
2020-01-27,31263.46
2020-01-27,36134.89
2020-01-27,38325.79
2020-01-28,34874.6
2020-01-28,34513.98
2020-01-28,30991.1
2020-01-29,38159.61
2020-01-29,27125.08
2020-01-30,34339.27
2020-01-30,33088.94
2020-01-30,33854.11
2020-01-31,41640.48
2020-01-31,33014.14
2020-01-31,41177.45
2020-02-01,40173.42
2020-02-01,31679.32
2020-02-01,35117.26
2020-02-02,28991.98
2020-02-03,21422.74
2020-02-03,30113.74
2020-02-03,21820.74
2020-02-04,27666.82
2020-02-04,29309.44
2020-02-05,32451.88
2020-02-05,23604.56
2020-02-05,28574.17
2020-02-06,26095.98
2020-02-06,26274.45
2020-02-06,26976.01
2020-02-07,30470.47
2020-02-07,23391.02
2020-02-07,31262.0
2020-02-08,33342.9
2020-02-08,28948.75
2020-02-09,29039.87
2020-02-09,42406.14
2020-02-09,33492.62
2020-02-10,20345.69
2020-02-11,33310.17
2020-02-11,25784.1
2020-02-11,29105.36
2020-02-12,26273.64
2020-02-13,26668.28
2020-02-14,21257.55
2020-02-14,26108.58
2020-02-15,42612.43
2020-02-16,38139.83
2020-02-17,23759.21
2020-02-17,27990.02
2020-02-18,31365.36
2020-02-18,26763.25
2020-02-19,28517.78
2020-02-19,29917.61
2020-02-19,31578.5
2020-02-20,30603.94
2020-02-20,29708.1
2020-02-20,27131.49
2020-02-21,28135.96
2020-02-22,33835.65
2020-02-22,38087.0
2020-02-23,40621.8
2020-02-24,27774.21
2020-02-25,22088.05
2020-02-25,22053.71
2020-02-26,35569.81
2020-02-26,24186.74
2020-02-26,35761.32
2020-02-27,30625.84
2020-02-27,30033.64
2020-02-28,28756.55
2020-02-28,30422.27
2020-02-29,32363.04
2020-02-29,25437.33
2020-02-29,54865.21
2020-03-01,33330.53
2020-03-02,25476.74
2020-03-02,23721.03
2020-03-03,32964.23
2020-03-04,26151.1
2020-03-05,31996.65
2020-03-06,31392.62
2020-03-06,33394.19
2020-03-06,27769.41
2020-03-07,41009.88
2020-03-07,34042.11
2020-03-08,48100.68
2020-03-08,48013.09
2020-03-08,48980.82
2020-03-09,29164.31
2020-03-09,36455.59
2020-03-10,27168.38
2020-03-11,26295.25
2020-03-12,26255.28
2020-03-12,34221.96
2020-03-12,33034.23
2020-03-13,30844.37
2020-03-13,26674.91
2020-03-13,32681.13
2020-03-14,27561.17
